name,sexe,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABDELKARIM,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.00,0.15,0.11,0.15,0.20,0.30,0.25,0.25,0.32,0.42,0.37,0.58,0.26,0.54,0.58,0.59,0.53,0.47,0.63,0.79,0.76,0.87,0.90,0.97,0.83,0.84,0.78,0.68,0.89,1.00,0.70,0.48,0.75,0.75,0.77,0.47,0.61,0.48,0.58,0.54,0.49,0.62,0.55,0.65,0.39,0.29,0.45,0.45,0.44,0.41,0.66,0.54,0.60,0.68,0.70,0.53,0.00
ABDELKRIM,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.13,0.03,0.08,0.16,0.37,0.29,0.36,0.41,0.81,0.85,0.85,0.96,0.89,0.81,0.89,1.00,0.95,0.87,0.90,0.93,0.90,0.99,0.94,0.74,0.84,0.70,0.72,0.68,0.51,0.61,0.71,0.71,0.40,0.48,0.52,0.39,0.44,0.28,0.35,0.24,0.15,0.26,0.12,0.19,0.15,0.16,0.15,0.15,0.18,0.15,0.12,0.10,0.06,0.12,0.11,0.13,0.08,0.10,0.14,0.08,0.05,0.05,0.12,0.07,0.05,0.00,0.00
ABDELLAH,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.03,0.00,0.03,0.03,0.05,0.09,0.06,0.12,0.14,0.16,0.09,0.13,0.12,0.18,0.14,0.21,0.17,0.32,0.28,0.30,0.36,0.48,0.56,0.49,0.56,0.51,0.55,0.54,0.54,0.69,0.59,0.66,0.77,0.87,0.67,0.59,0.60,0.48,0.49,0.47,0.45,0.45,0.53,0.53,0.41,0.53,0.47,0.33,0.55,0.57,0.41,0.74,0.55,0.69,0.76,0.77,0.73,0.68,0.79,1.00,0.94,0.86,0.99,0.99,0.86,0.81,0.00
ABDERRAHMANE,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.05,0.08,0.00,0.05,0.14,0.16,0.05,0.18,0.21,0.21,0.22,0.23,0.21,0.20,0.26,0.17,0.22,0.25,0.17,0.23,0.09,0.18,0.27,0.30,0.31,0.20,0.28,0.22,0.26,0.27,0.18,0.26,0.33,0.19,0.28,0.20,0.18,0.21,0.35,0.33,0.17,0.27,0.28,0.25,0.26,0.35,0.26,0.33,0.43,0.39,0.40,0.48,0.48,0.66,0.60,0.81,0.66,0.85,0.94,0.90,1.00,0.85,0.73,0.00
ABDOUL,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.07,0.15,0.08,0.07,0.00,0.00,0.06,0.00,0.04,0.04,0.07,0.07,0.09,0.06,0.08,0.00,0.08,0.05,0.11,0.05,0.00,0.06,0.10,0.00,0.04,0.10,0.04,0.04,0.00,0.04,0.07,0.09,0.04,0.06,0.10,0.08,0.05,0.12,0.12,0.25,0.26,0.19,0.28,0.30,0.18,0.28,0.31,0.34,0.44,0.37,0.39,0.39,0.37,0.42,0.30,0.33,0.27,0.34,0.46,0.37,0.41,0.33,0.40,0.53,0.36,0.44,0.40,0.36,0.36,0.45,0.48,0.59,0.60,0.68,0.89,0.72,0.91,1.00,0.97,0.00
ABDOULAYE,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.02,0.00,0.02,0.04,0.06,0.06,0.09,0.07,0.13,0.15,0.16,0.18,0.22,0.20,0.26,0.40,0.40,0.36,0.37,0.49,0.48,0.33,0.36,0.37,0.36,0.39,0.43,0.28,0.36,0.35,0.33,0.34,0.49,0.50,0.55,0.52,0.55,0.61,0.61,0.51,0.64,0.66,0.61,0.72,0.78,0.94,0.80,0.88,0.78,1.00,0.00
ABDULLAH,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.10,0.09,0.15,0.15,0.17,0.14,0.19,0.22,0.18,0.20,0.18,0.18,0.19,0.30,0.26,0.41,0.36,0.36,0.28,0.32,0.26,0.25,0.34,0.38,0.49,0.41,0.43,0.51,0.59,0.36,0.55,0.45,0.62,0.60,0.61,0.80,0.84,0.94,1.00,0.89,0.00
ABEL,1,0.92,1.00,1.00,0.95,0.89,0.96,0.91,0.96,0.89,0.97,0.88,0.85,0.83,0.86,0.77,0.78,0.68,0.73,0.72,0.76,0.67,0.71,0.69,0.62,0.61,0.58,0.52,0.58,0.43,0.49,0.44,0.43,0.38,0.39,0.32,0.33,0.29,0.32,0.29,0.27,0.23,0.21,0.18,0.13,0.16,0.16,0.13,0.12,0.11,0.11,0.10,0.07,0.08,0.08,0.05,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.05,0.06,0.06,0.05,0.07,0.08,0.09,0.09,0.11,0.13,0.17,0.15,0.14,0.16,0.15,0.19,0.22,0.26,0.24,0.30,0.32,0.34,0.44,0.48,0.51,0.58,0.60,0.65,0.00
ABIGAEL,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.00,0.00,0.02,0.03,0.00,0.04,0.03,0.03,0.11,0.09,0.12,0.07,0.12,0.23,0.31,0.38,0.36,0.29,0.40,0.38,0.34,0.33,0.46,0.56,0.66,0.78,0.89,0.89,0.89,0.95,0.81,0.93,0.76,1.00,0.87,0.93,0.00
ABIGAELLE,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.02,0.00,0.02,0.00,0.03,0.04,0.06,0.02,0.07,0.06,0.06,0.14,0.21,0.20,0.21,0.27,0.29,0.31,0.30,0.25,0.29,0.31,0.55,0.50,0.58,0.63,0.68,0.76,0.76,0.75,1.00,0.89,0.90,0.82,0.00
