name,sexe,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DONOVAN,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.04,0.05,0.13,0.12,0.26,0.38,0.44,0.50,0.54,0.57,0.63,1.00,1.00,0.95,0.96,0.82,0.69,0.80,0.79,0.68,0.57,0.58,0.74,0.59,0.52,0.46,0.37,0.37,0.29,0.24,0.26,0.21,0.19,0.00
DORA,2,0.09,0.29,0.26,0.38,0.20,0.29,0.31,0.31,0.43,0.36,0.31,0.28,0.44,0.31,0.55,0.17,0.63,0.23,0.65,0.40,0.26,0.28,0.25,0.29,0.40,0.49,0.35,0.38,0.36,0.34,0.34,0.44,0.50,0.45,0.21,0.33,0.29,0.27,0.19,0.19,0.30,0.49,0.29,0.27,0.27,0.10,0.11,0.21,0.17,0.21,0.23,0.17,0.08,0.10,0.11,0.10,0.24,0.11,0.21,0.19,0.17,0.12,0.08,0.16,0.14,0.08,0.17,0.21,0.21,0.11,0.16,0.26,0.24,0.22,0.42,0.28,0.29,0.24,0.24,0.25,0.26,0.39,0.21,0.27,0.29,0.35,0.44,0.27,0.29,0.30,0.29,0.40,0.28,0.25,0.36,0.34,0.24,0.37,0.35,0.41,0.46,0.47,0.58,0.58,1.00,0.81,0.85,0.31,0.29,0.26,0.16,0.22,0.15,0.24,0.31,0.08,0.11,0.21,0.00
DORIA,2,0.80,0.62,1.00,0.46,0.58,0.57,0.56,0.62,0.57,0.35,0.41,0.42,0.53,0.36,0.40,0.24,0.11,0.24,0.27,0.21,0.18,0.23,0.17,0.25,0.23,0.24,0.15,0.11,0.08,0.08,0.09,0.19,0.00,0.05,0.00,0.05,0.05,0.00,0.00,0.07,0.08,0.00,0.08,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.09,0.04,0.05,0.09,0.05,0.09,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.04,0.00,0.00,0.06,0.08,0.12,0.09,0.04,0.04,0.08,0.15,0.07,0.06,0.10,0.11,0.07,0.12,0.16,0.17,0.20,0.21,0.08,0.30,0.19,0.33,0.28,0.28,0.37,0.40,0.49,0.37,0.32,0.36,0.51,0.41,0.45,0.51,0.40,0.33,0.31,0.18,0.19,0.14,0.10,0.14,0.29,0.21,0.23,0.11,0.14,0.00
DORIAN,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.04,0.03,0.03,0.04,0.05,0.06,0.11,0.12,0.14,0.17,0.20,0.26,0.27,0.30,0.35,0.39,0.36,0.39,0.50,0.69,0.85,0.81,0.84,1.00,0.89,0.99,0.92,0.88,0.75,0.65,0.51,0.46,0.41,0.36,0.32,0.28,0.22,0.19,0.18,0.16,0.13,0.00
DORIANE,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.02,0.02,0.02,0.01,0.02,0.03,0.01,0.03,0.02,0.02,0.03,0.03,0.03,0.04,0.13,0.11,0.13,0.19,0.18,0.15,0.16,0.14,0.16,0.15,0.13,0.15,0.14,0.15,0.17,0.18,0.17,0.19,0.17,0.15,0.20,0.14,0.19,0.25,0.18,0.18,0.18,0.22,0.30,0.33,0.33,0.47,0.83,0.61,0.68,0.62,0.59,0.63,0.74,1.00,0.99,0.91,0.85,0.78,0.77,0.71,0.52,0.47,0.36,0.32,0.27,0.21,0.15,0.13,0.12,0.08,0.06,0.05,0.06,0.04,0.04,0.00
DORINE,2,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.03,0.04,0.05,0.02,0.02,0.04,0.04,0.11,0.10,0.13,0.23,0.12,0.10,0.15,0.15,0.13,0.14,0.13,0.15,0.19,0.23,0.20,0.26,0.25,0.36,0.38,0.40,0.42,0.37,0.45,0.60,0.66,0.55,0.62,0.74,1.00,0.82,0.83,0.90,0.79,0.62,0.77,0.69,0.52,0.38,0.40,0.28,0.25,0.19,0.09,0.13,0.08,0.08,0.07,0.06,0.04,0.04,0.00
DORIS,2,0.03,0.03,0.00,0.03,0.03,0.00,0.05,0.03,0.00,0.00,0.04,0.03,0.00,0.04,0.00,0.04,0.08,0.10,0.07,0.07,0.07,0.10,0.09,0.12,0.07,0.06,0.09,0.09,0.09,0.11,0.13,0.11,0.14,0.12,0.13,0.12,0.16,0.20,0.22,0.28,0.21,0.70,0.91,0.99,0.99,0.29,0.35,0.41,0.41,0.46,0.47,0.69,0.71,0.79,0.89,0.79,0.83,0.80,0.77,0.88,0.91,1.00,0.89,0.72,0.62,0.59,0.47,0.49,0.61,0.41,0.45,0.42,0.32,0.35,0.22,0.25,0.23,0.19,0.20,0.29,0.21,0.20,0.20,0.20,0.16,0.23,0.21,0.21,0.19,0.27,0.26,0.26,0.23,0.19,0.24,0.24,0.24,0.14,0.16,0.19,0.18,0.13,0.11,0.12,0.09,0.08,0.07,0.03,0.10,0.02,0.03,0.07,0.05,0.07,0.06,0.00,0.08,0.04,0.00
DOROTHEE,2,0.04,0.06,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.02,0.05,0.08,0.03,0.04,0.03,0.02,0.03,0.04,0.02,0.03,0.05,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.02,0.02,0.03,0.03,0.01,0.04,0.02,0.02,0.02,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.07,0.05,0.06,0.07,0.10,0.09,0.11,0.14,0.14,0.17,0.18,0.16,0.18,0.24,0.28,0.42,0.42,0.38,0.37,0.39,0.43,0.39,0.42,0.46,0.57,0.79,0.89,0.97,1.00,0.79,0.59,0.47,0.35,0.26,0.15,0.08,0.05,0.03,0.03,0.02,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00
DORYAN,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.05,0.06,0.00,0.12,0.12,0.16,0.16,0.36,0.47,0.48,0.46,0.71,0.86,0.76,1.00,0.91,0.87,0.91,0.77,0.71,0.61,0.55,0.53,0.56,0.33,0.34,0.32,0.22,0.23,0.00
DOUGLAS,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.10,0.07,0.00,0.00,0.00,0.07,0.05,0.07,0.09,0.16,0.25,0.29,0.30,0.37,0.47,0.37,0.31,0.21,0.27,0.15,0.15,0.13,0.09,0.16,0.12,0.15,0.08,0.18,0.17,0.25,0.25,0.34,0.22,0.44,0.37,0.22,0.36,0.29,0.35,0.19,0.08,0.26,0.34,0.44,0.53,0.69,0.61,1.00,0.78,0.62,0.78,0.56,0.52,0.47,0.47,0.34,0.36,0.29,0.27,0.21,0.32,0.16,0.33,0.13,0.24,0.05,0.13,0.19,0.09,0.11,0.13,0.16,0.20,0.00
DOUNIA,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.03,0.02,0.03,0.04,0.05,0.07,0.11,0.07,0.16,0.16,0.16,0.23,0.26,0.31,0.49,0.39,0.42,0.36,0.44,0.45,0.56,0.56,0.56,0.61,0.57,0.63,0.58,0.61,0.60,0.66,0.67,0.69,1.00,0.89,0.71,0.61,0.60,0.63,0.54,0.51,0.64,0.40,0.55,0.54,0.49,0.42,0.43,0.34,0.00
DRISS,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,0.03,0.03,0.02,0.05,0.05,0.03,0.05,0.06,0.07,0.07,0.04,0.05,0.08,0.06,0.09,0.13,0.15,0.17,0.16,0.21,0.25,0.23,0.29,0.46,0.51,0.55,0.57,0.51,0.54,0.46,0.59,0.70,0.58,0.64,0.73,0.66,0.74,0.64,0.72,0.85,0.77,0.81,0.65,0.81,0.52,0.71,0.81,0.93,0.74,0.88,0.99,0.99,1.00,0.89,0.79,0.76,0.56,0.66,0.60,0.47,0.89,0.67,0.56,0.73,0.58,0.51,0.00
DUNCAN,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.04,0.08,0.05,0.07,0.10,0.05,0.03,0.08,0.09,0.45,0.63,0.78,0.85,1.00,0.68,0.74,0.73,0.68,0.43,0.50,0.35,0.38,0.57,0.38,0.43,0.24,0.29,0.25,0.22,0.17,0.17,0.23,0.19,0.00
DYLAN,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.05,0.06,0.09,0.25,0.69,0.93,1.00,0.91,0.76,0.62,0.53,0.46,0.40,0.35,0.33,0.28,0.26,0.22,0.18,0.16,0.15,0.13,0.11,0.09,0.08,0.08,0.08,0.07,0.00
EDA,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.04,0.00,0.00,0.12,0.05,0.00,0.04,0.09,0.08,0.07,0.06,0.11,0.06,0.00,0.10,0.06,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.04,0.04,0.04,0.13,0.12,0.18,0.17,0.18,0.17,0.39,0.44,0.35,0.49,0.59,0.58,0.89,0.49,0.55,0.72,0.71,0.75,0.75,0.55,0.57,0.73,1.00,0.70,0.69,0.54,0.56,0.49,0.48,0.37,0.00
EDDIE,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,0.02,0.05,0.04,0.08,0.10,0.26,0.31,0.66,0.65,0.46,0.46,0.75,0.58,0.62,0.72,0.62,0.77,0.92,0.91,1.00,0.90,0.74,0.60,0.60,0.53,0.35,0.36,0.32,0.34,0.38,0.26,0.31,0.34,0.34,0.33,0.27,0.27,0.23,0.31,0.32,0.29,0.31,0.28,0.23,0.25,0.25,0.18,0.23,0.20,0.25,0.18,0.18,0.08,0.09,0.09,0.05,0.06,0.07,0.09,0.04,0.05,0.08,0.04,0.03,0.04,0.03,0.00,0.03,0.06,0.00
EDDY,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.11,0.12,0.08,0.09,0.09,0.12,0.14,0.16,0.22,0.27,0.39,0.52,0.62,0.89,1.00,0.92,0.93,0.86,0.80,0.94,0.77,0.84,0.82,0.93,0.84,0.98,0.94,0.85,0.68,0.60,0.57,0.57,0.63,0.59,0.55,0.52,0.54,0.54,0.58,0.50,0.49,0.41,0.39,0.40,0.30,0.33,0.27,0.24,0.19,0.18,0.14,0.13,0.16,0.13,0.12,0.11,0.11,0.10,0.07,0.08,0.08,0.08,0.00
EDEN,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.03,0.05,0.07,0.08,0.08,0.10,0.14,0.27,0.47,0.58,0.82,0.82,0.98,1.00,0.00
EDEN,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.08,0.10,0.13,0.15,0.18,0.23,0.21,0.23,0.27,0.31,0.31,0.37,0.47,0.55,0.59,0.63,0.70,0.65,0.91,1.00,0.90,1.00,0.95,0.77,0.00
EDGAR,1,0.21,0.19,0.18,0.38,0.28,0.25,0.23,0.26,0.27,0.25,0.24,0.30,0.26,0.31,0.28,0.19,0.19,0.16,0.20,0.22,0.18,0.20,0.17,0.17,0.13,0.16,0.15,0.13,0.17,0.21,0.17,0.18,0.16,0.21,0.14,0.16,0.14,0.15,0.16,0.14,0.14,0.26,0.19,0.10,0.14,0.05,0.07,0.08,0.09,0.09,0.10,0.10,0.10,0.08,0.09,0.09,0.07,0.05,0.04,0.04,0.06,0.04,0.03,0.03,0.03,0.04,0.05,0.05,0.08,0.07,0.05,0.07,0.07,0.04,0.05,0.05,0.06,0.04,0.06,0.05,0.07,0.07,0.03,0.05,0.02,0.07,0.05,0.06,0.07,0.08,0.06,0.11,0.24,0.24,0.27,0.37,0.32,0.44,0.38,0.52,0.63,0.58,0.68,0.69,0.80,0.69,0.80,0.72,0.83,0.82,0.80,0.81,0.74,0.94,1.00,0.85,0.82,0.79,0.00
EDGARD,1,0.82,0.76,0.70,0.83,0.89,0.92,1.00,0.82,0.78,0.66,0.79,1.00,0.86,0.80,0.85,0.77,0.94,0.83,0.92,0.60,0.65,0.75,0.72,0.69,0.58,0.67,0.50,0.64,0.55,0.47,0.60,0.54,0.68,0.49,0.47,0.47,0.54,0.43,0.48,0.41,0.48,0.43,0.37,0.32,0.36,0.34,0.30,0.26,0.25,0.37,0.35,0.29,0.35,0.26,0.31,0.29,0.33,0.23,0.21,0.17,0.15,0.16,0.11,0.14,0.19,0.14,0.19,0.10,0.14,0.08,0.08,0.09,0.07,0.03,0.04,0.05,0.02,0.03,0.04,0.02,0.04,0.04,0.05,0.02,0.01,0.02,0.04,0.01,0.03,0.04,0.02,0.04,0.07,0.06,0.08,0.06,0.10,0.10,0.07,0.08,0.06,0.10,0.10,0.10,0.06,0.08,0.08,0.08,0.06,0.07,0.11,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.00
EDITH,2,0.20,0.20,0.20,0.20,0.21,0.22,0.25,0.27,0.29,0.26,0.30,0.25,0.31,0.36,0.27,0.35,0.42,0.44,0.46,0.38,0.44,0.52,0.53,0.51,0.48,0.48,0.52,0.52,0.55,0.56,0.53,0.58,0.53,0.54,0.56,0.58,0.64,0.67,0.64,0.67,0.70,0.78,0.80,0.81,0.92,0.85,0.87,0.86,0.95,0.95,1.00,0.95,1.00,0.96,0.90,0.90,0.90,0.89,0.87,0.84,0.84,0.81,0.70,0.63,0.57,0.47,0.41,0.41,0.38,0.36,0.33,0.28,0.29,0.25,0.23,0.20,0.19,0.20,0.18,0.17,0.17,0.17,0.12,0.15,0.10,0.10,0.10,0.09,0.08,0.08,0.07,0.06,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.03,0.00
EDITHE,2,0.59,0.70,0.45,0.41,0.51,0.54,0.60,0.63,0.51,0.75,0.66,0.55,0.60,0.71,0.63,0.60,1.00,0.43,0.47,0.51,0.50,0.87,0.66,0.71,0.70,0.58,0.69,0.64,0.81,0.70,0.79,0.63,0.61,0.40,0.54,0.69,0.48,0.52,0.44,0.44,0.36,0.23,0.18,0.23,0.28,0.18,0.14,0.11,0.11,0.15,0.11,0.14,0.11,0.09,0.06,0.05,0.06,0.06,0.09,0.08,0.00,0.05,0.04,0.04,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EDMEE,2,0.66,0.78,0.73,0.80,0.82,0.81,0.87,0.74,0.74,0.83,0.80,0.93,0.88,0.93,0.86,0.96,1.00,0.92,0.76,0.91,0.78,0.82,0.90,0.73,0.78,0.74,0.66,0.69,0.56,0.60,0.56,0.45,0.70,0.49,0.52,0.40,0.39,0.37,0.41,0.40,0.32,0.34,0.24,0.25,0.28,0.27,0.16,0.17,0.16,0.17,0.09,0.11,0.15,0.12,0.10,0.14,0.07,0.07,0.08,0.06,0.06,0.05,0.05,0.07,0.05,0.03,0.01,0.06,0.04,0.05,0.03,0.04,0.03,0.02,0.00,0.04,0.00,0.02,0.04,0.00,0.03,0.02,0.02,0.00,0.02,0.00,0.02,0.03,0.02,0.03,0.00,0.02,0.03,0.02,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.04,0.00,0.02,0.03,0.02,0.04,0.05,0.03,0.04,0.02,0.00,0.04,0.04,0.04,0.02,0.07,0.07,0.00
EDMOND,1,0.93,0.95,0.96,0.94,1.00,0.95,0.96,0.94,0.98,0.96,0.94,0.89,0.97,0.99,0.89,0.89,0.88,0.86,0.92,0.93,0.92,0.89,0.80,0.86,0.89,0.82,0.79,0.77,0.78,0.74,0.71,0.74,0.75,0.66,0.59,0.56,0.50,0.49,0.47,0.47,0.41,0.40,0.36,0.34,0.28,0.28,0.24,0.25,0.22,0.20,0.18,0.15,0.17,0.13,0.12,0.12,0.12,0.11,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00
EDMONDE,2,0.26,0.28,0.32,0.29,0.28,0.29,0.30,0.33,0.45,0.42,0.50,0.46,0.60,0.52,0.63,1.00,0.82,0.83,0.84,0.68,0.79,0.78,0.74,0.62,0.91,0.68,0.72,0.61,0.68,0.76,0.92,0.84,0.94,0.73,0.69,0.76,0.72,0.62,0.68,0.69,0.72,0.56,0.38,0.46,0.48,0.39,0.40,0.36,0.34,0.31,0.23,0.26,0.23,0.19,0.16,0.19,0.12,0.12,0.11,0.14,0.08,0.06,0.10,0.07,0.07,0.05,0.06,0.03,0.03,0.05,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EDOUARD,1,0.88,0.95,0.92,1.00,0.93,0.97,0.92,0.91,0.90,0.88,0.89,0.82,0.85,0.85,0.80,0.84,0.84,0.74,0.76,0.74,0.72,0.66,0.62,0.60,0.63,0.60,0.60,0.56,0.52,0.52,0.53,0.51,0.48,0.48,0.45,0.41,0.41,0.41,0.42,0.41,0.42,0.34,0.29,0.27,0.23,0.22,0.19,0.18,0.17,0.17,0.15,0.12,0.13,0.11,0.11,0.11,0.11,0.10,0.09,0.09,0.08,0.10,0.09,0.09,0.09,0.11,0.09,0.10,0.10,0.10,0.11,0.11,0.11,0.12,0.13,0.15,0.14,0.14,0.17,0.20,0.21,0.19,0.23,0.23,0.23,0.25,0.26,0.30,0.33,0.32,0.31,0.32,0.29,0.32,0.25,0.20,0.20,0.20,0.18,0.19,0.16,0.16,0.15,0.15,0.17,0.15,0.14,0.13,0.12,0.13,0.14,0.14,0.15,0.15,0.14,0.13,0.15,0.16,0.00
EDWARD,1,0.22,0.35,0.54,0.42,0.60,0.35,0.34,0.39,0.30,0.22,0.42,0.38,0.39,0.29,0.32,0.64,0.42,0.30,0.57,0.38,0.28,0.33,0.58,0.49,0.59,0.64,0.92,0.81,0.74,0.81,1.00,0.97,0.92,0.73,0.79,0.56,0.73,0.76,0.67,0.74,0.54,0.49,0.25,0.41,0.41,0.89,0.27,0.40,0.35,0.31,0.33,0.19,0.31,0.40,0.42,0.46,0.44,0.50,0.58,0.40,0.33,0.38,0.32,0.37,0.48,0.25,0.31,0.23,0.26,0.21,0.27,0.28,0.19,0.25,0.32,0.31,0.32,0.22,0.28,0.51,0.19,0.24,0.32,0.40,0.58,0.43,0.25,0.39,0.53,0.45,0.45,0.66,0.76,0.68,0.56,0.39,0.35,0.42,0.42,0.34,0.23,0.30,0.30,0.32,0.38,0.28,0.32,0.20,0.21,0.76,0.80,0.65,0.78,0.84,0.84,0.83,0.93,0.97,0.00
